,Round,Tick,Type,relativeTime,Price,Quantity
0,0,1,at bid,0.006546152440941568,999.99,1
1,0,1,at ask,0.07702505455815349,1000.01,1
2,0,1,at ask,0.82599614650855,1000.01,1
3,0,1,at ask,0.923917513771593,1000.01,1
4,0,2,at bid,0.05659707922259329,949.99,1
5,0,2,at bid,0.2241553137322622,949.99,1
6,0,2,at ask,0.6771240921615961,950.01,1
7,0,3,at bid,0.1288521684424514,849.99,1
8,0,3,at bid,0.3178237693838357,849.99,1
9,0,3,at bid,0.8855642926849613,849.99,1
10,0,4,at ask,0.03565733266141389,1000.01,1
11,0,4,at ask,0.16039696240453585,1000.01,1
12,0,4,at ask,0.40754373912375136,1000.01,1
13,0,5,at bid,0.09284320977754854,849.99,1
14,0,5,at ask,0.14514640250516037,850.01,1
15,0,5,at ask,0.14641145032433822,850.01,1
16,0,5,at ask,0.4227060075123028,850.01,1
17,0,5,at bid,0.7969164960645589,849.99,1
18,0,6,at ask,0.8123302401260529,750.01,1
19,0,7,at bid,0.09843678144405903,649.99,1
20,0,7,at bid,0.10503329411888566,649.99,1
21,0,7,at ask,0.38537329860547126,650.01,1
22,0,7,at ask,0.4705452141221277,650.01,1
23,0,8,at bid,0.7191481719166865,499.99,1
24,0,8,at bid,0.7329554550106652,499.99,1
25,0,8,at ask,0.7551082678188888,500.01,1
26,0,8,at bid,0.8295336123477918,499.99,1
27,0,8,at bid,0.9833380940842876,499.99,1
28,0,9,at bid,0.06485882132482204,399.99,1
29,0,9,at bid,0.471215042091904,399.99,1
30,0,9,at bid,0.6850004562661964,399.99,1
31,0,10,at ask,0.04305031869937445,450.01,1
32,0,10,at ask,0.15253195142136594,450.01,1
33,0,10,at ask,0.469694756552147,450.01,1
34,0,10,at bid,0.537916722466228,449.99,1
35,0,10,at ask,0.6253126531069033,450.01,1
36,0,10,at bid,0.6407638949315816,449.99,1
37,0,10,at ask,0.9872228123727727,450.01,1
38,0,11,,,499.99,1
39,0,12,at bid,0.1260986336337134,399.99,1
40,0,12,at bid,0.6683470992923634,399.99,1
41,0,12,at bid,0.9206780842594587,399.99,1
42,0,13,at bid,0.04901953949893859,349.99,1
43,0,13,at bid,0.1400959200083342,349.99,1
44,0,13,at ask,0.7185657967733021,350.01,1
45,0,14,at bid,0.5067250629008517,499.99,1
46,0,14,at bid,0.6211303614607288,499.99,1
47,0,15,at bid,0.1300465711711718,349.99,1
48,0,15,at bid,0.31307006874388377,349.99,1
49,0,15,at bid,0.45247918366156725,349.99,1
50,0,15,at bid,0.6313016465296953,349.99,1
51,0,15,at bid,0.9839160766477577,349.99,1
52,0,16,at bid,0.07696501662189191,199.99,1
53,0,16,at bid,0.18502719107223048,199.99,1
54,0,16,at bid,0.23676963735464704,199.99,1
55,0,16,at ask,0.5058917512692035,200.01,1
56,0,17,at bid,0.24101828633364064,99.99,1
57,0,17,at ask,0.3238149964210687,100.01,1
